district,pop
Abu Al-Khaseeb,244
Abu Ghraib,14244
Adhamia,5588
Afaq,688
Ain Al-Tamur,28
Akre,7865
Al Resafa,4730
Al-Fares,1904
Al-Hamdaniya,523
Al-Hawiga,12281
Ali Al-Gharbi,27
Al-Kahla,8
Al-Ka'im,2074
Al-Maimouna,4
Al-Rutba,776
Amara,632
Amedi,2285
Ana,2070
Azezia,684
Badra,80
Baiji,1608
Balad,3960
Baladrooz,262
Ba'quba,4560
Basrah,909
Chamchamal,1763
Chibayish,28
Choman,58
Dabes,1300
Dahuk,8972
Daquq,3658
Darbandihkan,701
Daur,381
Diwaniya,2250
Dokan,1001
Erbil,42254
Fallujah,9006
Fao,14
Haditha,4255
Hai,264
Halabja,1414
Hamza,501
Hashimiya,1148
Hatra,480
Heet,3357
Hilla,3319
Hindiya,3544
Kadhimia,5175
Kalar,3087
Karkh,22732
Kerbala,6065
Khalis,1499
Khanaqin,2725
Khidhir,92
Kifri,1453
Kirkuk,38723
Koisnjaq,1697
Kufa,1576
Kut,1969
Mada'in,1004
Mahawil,618
Mahmoudiya,3641
Makhmur,435
Manathera,437
Mejar Al-Kabir,69
Mergasur,65
Midaina,77
Mosul,13747
Muqdadiya,101
Musayab,2631
Najaf,10613
Na'maniya,892
Nassriya,762
Penjwin,6
Pshdar,175
Qal'at Saleh,30
Qurna,73
Ramadi,2321
Rania,750
Ra'ua,1431
Rifa'i,153
Rumaitha,226
Samarra,7002
Samawa,426
Shamiya,566
Shaqlawa,4416
Sharbazher,107
Shatra,239
Shatt Al-Arab,89
Shikhan,8413
Shirqat,5772
Sinjar,2144
Soran,1603
Sulaymaniyah,12749
Sumel,17541
Suq Al-Shoyokh,208
Suwaira,512
Tarmia,2213
Telafar,6054
Thawra1,40
Thawra2,714
Tikrit,25941
Tilkaif,3448
Tooz,6184
Zakho,11517
Zubair,371
